Benefit_ID,Project_ID,Benefit_Name,Benefit_Category,Expected_Benefit_INR,Realized_Benefit_INR,Benefit_Owner,Measurement_Type,Target_Date,Status
BEN001,PRJ049,Benefit 1,Cost Saving,214828226,182760479,S Verma,%,31-Dec-27,Realized
BEN002,PRJ041,Benefit 2,Revenue,157217508,87818868,A Sharma,%,31-Dec-27,Tracking
BEN003,PRJ048,Benefit 3,Cost Saving,134888787,122332304,V Mehta,%,31-Dec-27,Tracking
BEN004,PRJ016,Benefit 4,Efficiency,309662572,172292559,K Rao,%,31-Dec-27,Realized
BEN005,PRJ042,Benefit 5,Cost Saving,332227019,219860469,A Sharma,INR,31-Dec-27,Realized
BEN006,PRJ016,Benefit 6,Revenue,163811741,37836633,S Verma,INR,31-Dec-27,Realized
BEN007,PRJ086,Benefit 7,Efficiency,93615037,91585080,R Singh,INR,31-Dec-27,Planned
BEN008,PRJ096,Benefit 8,Efficiency,41224056,41019600,S Verma,INR,31-Dec-27,Planned
BEN009,PRJ055,Benefit 9,Cost Saving,171423369,58483394,N Kumar,INR,31-Dec-27,Planned
BEN010,PRJ006,Benefit 10,Cost Saving,372842075,188114809,K Rao,INR,31-Dec-27,Planned
BEN011,PRJ017,Benefit 11,Cost Saving,362549911,117719484,V Mehta,%,31-Dec-27,Planned
BEN012,PRJ092,Benefit 12,Cost Saving,24386434,16073551,N Kumar,%,31-Dec-27,Planned
BEN013,PRJ083,Benefit 13,Efficiency,8642559,4851379,V Mehta,%,31-Dec-27,Planned
BEN014,PRJ004,Benefit 14,Revenue,252461563,186999500,R Singh,INR,31-Dec-27,Tracking
BEN015,PRJ097,Benefit 15,Cost Saving,211570506,91871190,K Rao,%,31-Dec-27,Tracking
BEN016,PRJ062,Benefit 16,Revenue,282714862,223298415,N Kumar,INR,31-Dec-27,Realized
BEN017,PRJ050,Benefit 17,Revenue,519488222,196291359,A Sharma,%,31-Dec-27,Planned
BEN018,PRJ025,Benefit 18,Efficiency,258741445,179103563,P Gupta,INR,31-Dec-27,Realized
BEN019,PRJ081,Benefit 19,Cost Saving,176951491,97419575,V Mehta,%,31-Dec-27,Planned
BEN020,PRJ064,Benefit 20,Revenue,452165970,426676247,V Mehta,%,31-Dec-27,Tracking
BEN021,PRJ069,Benefit 21,Revenue,9499446,7797402,N Kumar,%,31-Dec-27,Tracking
BEN022,PRJ059,Benefit 22,Revenue,260348911,217365955,A Sharma,INR,31-Dec-27,Realized
BEN023,PRJ039,Benefit 23,Revenue,246854410,99783769,A Sharma,INR,31-Dec-27,Planned
BEN024,PRJ075,Benefit 24,Cost Saving,247396343,79639980,P Gupta,INR,31-Dec-27,Realized
BEN025,PRJ056,Benefit 25,Revenue,150231998,69048950,K Rao,%,31-Dec-27,Planned
BEN026,PRJ034,Benefit 26,Efficiency,303025067,193253779,K Rao,INR,31-Dec-27,Planned
BEN027,PRJ076,Benefit 27,Cost Saving,377453842,361228718,M Patel,INR,31-Dec-27,Tracking
BEN028,PRJ012,Benefit 28,Revenue,438170319,140304265,N Kumar,%,31-Dec-27,Planned
BEN029,PRJ018,Benefit 29,Efficiency,526649913,308615929,M Patel,INR,31-Dec-27,Tracking
BEN030,PRJ027,Benefit 30,Efficiency,331006968,66275986,N Kumar,%,31-Dec-27,Realized
BEN031,PRJ055,Benefit 31,Efficiency,225279967,130342639,M Patel,INR,31-Dec-27,Realized
BEN032,PRJ074,Benefit 32,Revenue,119619708,105853698,P Gupta,INR,31-Dec-27,Realized
BEN033,PRJ057,Benefit 33,Efficiency,52579063,25964185,P Gupta,INR,31-Dec-27,Planned
BEN034,PRJ035,Benefit 34,Efficiency,221048324,75324684,V Mehta,%,31-Dec-27,Planned
BEN035,PRJ061,Benefit 35,Revenue,374549383,332233582,S Verma,%,31-Dec-27,Tracking
BEN036,PRJ035,Benefit 36,Cost Saving,272754704,132255568,M Patel,%,31-Dec-27,Planned
BEN037,PRJ012,Benefit 37,Revenue,557646949,355140496,P Gupta,INR,31-Dec-27,Tracking
BEN038,PRJ089,Benefit 38,Revenue,298628365,168636094,N Kumar,%,31-Dec-27,Planned
BEN039,PRJ082,Benefit 39,Efficiency,146565743,89380817,A Sharma,INR,31-Dec-27,Tracking
BEN040,PRJ060,Benefit 40,Revenue,335092384,295331066,R Singh,%,31-Dec-27,Tracking
BEN041,PRJ063,Benefit 41,Cost Saving,206491560,86789310,K Rao,%,31-Dec-27,Tracking
BEN042,PRJ095,Benefit 42,Cost Saving,206300152,153539347,R Singh,INR,31-Dec-27,Planned
BEN043,PRJ036,Benefit 43,Revenue,529045989,335839857,V Mehta,%,31-Dec-27,Planned
BEN044,PRJ045,Benefit 44,Cost Saving,608659043,493927774,R Singh,INR,31-Dec-27,Tracking
BEN045,PRJ021,Benefit 45,Cost Saving,252633165,70237036,K Rao,INR,31-Dec-27,Realized
BEN046,PRJ057,Benefit 46,Cost Saving,39842904,39719714,A Sharma,INR,31-Dec-27,Tracking
BEN047,PRJ040,Benefit 47,Cost Saving,225833769,187547270,A Sharma,%,31-Dec-27,Planned
BEN048,PRJ057,Benefit 48,Revenue,45305551,10249568,R Singh,INR,31-Dec-27,Planned
BEN049,PRJ008,Benefit 49,Revenue,126257679,89743851,N Kumar,%,31-Dec-27,Tracking
BEN050,PRJ025,Benefit 50,Efficiency,374784154,336989301,N Kumar,%,31-Dec-27,Planned
BEN051,PRJ094,Benefit 51,Cost Saving,123608205,90612852,M Patel,%,31-Dec-27,Planned
BEN052,PRJ008,Benefit 52,Cost Saving,101614497,93752370,P Gupta,INR,31-Dec-27,Tracking
BEN053,PRJ024,Benefit 53,Cost Saving,37140600,19944874,A Sharma,%,31-Dec-27,Tracking
BEN054,PRJ040,Benefit 54,Efficiency,394044254,334888561,S Verma,%,31-Dec-27,Tracking
BEN055,PRJ013,Benefit 55,Revenue,218085813,50612074,S Verma,INR,31-Dec-27,Planned
