Change_ID,Project_ID,Change_Title,Change_Description,Change_Category,Requested_By,Change_Date,Approval_Status,Impact_On_Cost_INR,Impact_On_Schedule_Days,Priority,Approver,Implementation_Date,Status
CHG001,PRJ015,Change 1,Description,Schedule,M Patel,02-Apr-26,Pending,1919322,14,Low,CIO,21-Apr-26,Open
CHG002,PRJ049,Change 2,Description,Schedule,M Patel,10-Feb-26,Approved,1730888,21,Medium,CIO,09-Mar-26,Implemented
CHG003,PRJ066,Change 3,Description,Scope,P Gupta,04-May-26,Rejected,1708094,30,High,CTO,21-May-26,Open
CHG004,PRJ013,Change 4,Description,Scope,S Verma,17-Jan-26,Pending,1995660,33,High,CFO,10-Feb-26,Cancelled
CHG005,PRJ095,Change 5,Description,Scope,R Singh,06-May-26,Pending,1586713,44,High,CFO,18-May-26,Open
CHG006,PRJ015,Change 6,Description,Scope,K Rao,16-Mar-26,Pending,1986451,25,Medium,CTO,14-Apr-26,Open
CHG007,PRJ097,Change 7,Description,Schedule,A Sharma,27-Jan-26,Pending,362680,51,Low,CFO,13-Feb-26,Open
CHG008,PRJ002,Change 8,Description,Scope,M Patel,01-Feb-26,Pending,352552,52,Low,CIO,28-Feb-26,Implemented
CHG009,PRJ040,Change 9,Description,Schedule,N Kumar,20-Apr-26,Pending,1570792,30,Medium,CFO,19-May-26,Cancelled
CHG010,PRJ092,Change 10,Description,Scope,K Rao,08-May-26,Rejected,1594736,8,Low,CTO,25-May-26,Implemented
CHG011,PRJ064,Change 11,Description,Scope,R Singh,01-Mar-26,Approved,1941744,55,High,CFO,09-Mar-26,Cancelled
CHG012,PRJ059,Change 12,Description,Schedule,V Mehta,21-Feb-26,Approved,646479,33,Medium,CFO,14-Mar-26,Cancelled
CHG013,PRJ014,Change 13,Description,Schedule,K Rao,13-Feb-26,Pending,353678,11,Low,COO,27-Feb-26,Cancelled
CHG014,PRJ094,Change 14,Description,Budget,S Verma,19-May-26,Rejected,1459085,22,Low,CIO,31-May-26,Open
CHG015,PRJ087,Change 15,Description,Schedule,M Patel,09-Feb-26,Approved,1230895,1,Medium,CFO,21-Feb-26,Open
CHG016,PRJ068,Change 16,Description,Budget,R Singh,25-Jan-26,Pending,184792,25,Low,COO,20-Feb-26,Implemented
CHG017,PRJ001,Change 17,Description,Schedule,K Rao,24-Jun-26,Approved,1068162,42,High,CTO,04-Jul-26,Open
CHG018,PRJ073,Change 18,Description,Budget,K Rao,19-Mar-26,Pending,1592811,40,Medium,CIO,29-Mar-26,Implemented
CHG019,PRJ028,Change 19,Description,Scope,S Verma,20-Jun-26,Rejected,93966,49,High,CTO,17-Jul-26,Cancelled
CHG020,PRJ071,Change 20,Description,Budget,V Mehta,16-Jan-26,Pending,1522127,10,Medium,CIO,26-Jan-26,Implemented
CHG021,PRJ073,Change 21,Description,Scope,S Verma,01-Jun-26,Approved,655993,55,Medium,CTO,20-Jun-26,Implemented
CHG022,PRJ098,Change 22,Description,Scope,P Gupta,14-Jan-26,Approved,112663,32,Low,CTO,26-Jan-26,Implemented
CHG023,PRJ051,Change 23,Description,Schedule,M Patel,24-Apr-26,Approved,745662,12,Low,CFO,04-May-26,Implemented
CHG024,PRJ089,Change 24,Description,Schedule,S Verma,06-Mar-26,Pending,913334,56,Low,CTO,27-Mar-26,Implemented
CHG025,PRJ010,Change 25,Description,Schedule,K Rao,17-Jun-26,Pending,1598889,20,High,CIO,15-Jul-26,Implemented
CHG026,PRJ014,Change 26,Description,Budget,M Patel,22-Feb-26,Approved,1737532,22,Medium,CFO,13-Mar-26,Open
CHG027,PRJ068,Change 27,Description,Budget,K Rao,23-Mar-26,Approved,1946788,22,Low,CIO,19-Apr-26,Open
CHG028,PRJ043,Change 28,Description,Scope,N Kumar,29-May-26,Rejected,1407864,19,High,CFO,08-Jun-26,Implemented
CHG029,PRJ014,Change 29,Description,Schedule,M Patel,13-Jan-26,Rejected,179662,55,High,CIO,01-Feb-26,Cancelled
CHG030,PRJ075,Change 30,Description,Scope,A Sharma,26-Feb-26,Approved,1046029,0,High,CIO,17-Mar-26,Cancelled
CHG031,PRJ085,Change 31,Description,Scope,P Gupta,14-Feb-26,Pending,533429,13,Medium,CTO,25-Feb-26,Cancelled
CHG032,PRJ001,Change 32,Description,Scope,P Gupta,05-Jun-26,Pending,1790018,50,High,COO,04-Jul-26,Cancelled
CHG033,PRJ042,Change 33,Description,Scope,P Gupta,14-Jan-26,Rejected,216423,25,Low,CIO,02-Feb-26,Cancelled
CHG034,PRJ063,Change 34,Description,Budget,A Sharma,31-Mar-26,Pending,137962,30,Low,CIO,23-Apr-26,Open
CHG035,PRJ027,Change 35,Description,Schedule,A Sharma,21-Mar-26,Pending,1623807,4,Medium,COO,09-Apr-26,Open
CHG036,PRJ068,Change 36,Description,Scope,R Singh,29-Apr-26,Rejected,1160674,30,Low,COO,23-May-26,Open
CHG037,PRJ055,Change 37,Description,Budget,K Rao,20-Jan-26,Rejected,1840724,50,Low,COO,10-Feb-26,Implemented
CHG038,PRJ006,Change 38,Description,Budget,K Rao,26-Apr-26,Rejected,1897619,51,Medium,CFO,01-May-26,Implemented
