Financial_ID,Project_ID,Fiscal_Year,Fiscal_Month,Budget_INR,Forecast_INR,Actual_Spend_INR,Capital_Expense_INR,Operational_Expense_INR,Planned_Revenue_INR,Actual_Revenue_INR,Variance_INR,Cost_Status,Finance_Manager
FIN0001,PRJ001,2026,Jan,70700000,6379927,4748657,2849194,1899462,7659166,6261332,1631270,Over,V Mehta
FIN0002,PRJ001,2026,Feb,70700000,6340990,6597393,3958435,2638957,7659166,6670086,-256403,On Budget,P Gupta
FIN0003,PRJ001,2026,Mar,70700000,6394680,5294289,3176573,2117715,7659166,6755930,1100391,Over,M Patel
FIN0004,PRJ001,2026,Apr,70700000,6115276,5011034,3006620,2004413,7659166,7089202,1104242,Under,P Gupta
FIN0005,PRJ001,2026,May,70700000,5563273,5741115,3444669,2296446,7659166,8792891,-177842,Over,S Verma
FIN0006,PRJ001,2026,Jun,70700000,5498193,7014520,4208712,2805808,7659166,7810312,-1516327,Under,S Verma
FIN0007,PRJ001,2026,Jul,70700000,5705473,6947273,4168363,2778909,7659166,6461763,-1241800,Under,S Verma
FIN0008,PRJ001,2026,Aug,70700000,5621073,4874871,2924922,1949948,7659166,7073050,746202,Under,S Verma
FIN0009,PRJ001,2026,Sep,70700000,5533808,6206482,3723889,2482592,7659166,8375758,-672674,On Budget,N Kumar
FIN0010,PRJ001,2026,Oct,70700000,6039943,5008903,3005341,2003561,7659166,7644758,1031040,Over,V Mehta
FIN0011,PRJ001,2026,Nov,70700000,5863001,6440850,3864510,2576340,7659166,6535231,-577849,Under,M Patel
FIN0012,PRJ001,2026,Dec,70700000,5603903,5941409,3564845,2376563,7659166,6122013,-337506,Over,S Verma
FIN0013,PRJ002,2026,Jan,20700000,1655533,1765020,1059012,706008,2242500,2366609,-109487,Over,N Kumar
FIN0014,PRJ002,2026,Feb,20700000,1894096,1891903,1135141,756761,2242500,2507957,2193,On Budget,S Verma
FIN0015,PRJ002,2026,Mar,20700000,1717024,2007177,1204306,802870,2242500,2324733,-290153,Over,V Mehta
FIN0016,PRJ002,2026,Apr,20700000,1758930,2020595,1212357,808238,2242500,2358454,-261665,On Budget,K Rao
FIN0017,PRJ002,2026,May,20700000,1841286,2003500,1202100,801400,2242500,1757747,-162214,On Budget,N Kumar
FIN0018,PRJ002,2026,Jun,20700000,1752062,1563562,938137,625424,2242500,1993094,188500,Over,A Sharma
FIN0019,PRJ002,2026,Jul,20700000,1801987,1781860,1069116,712744,2242500,2417430,20127,Under,V Mehta
FIN0020,PRJ002,2026,Aug,20700000,1794642,1806990,1084194,722796,2242500,1744815,-12348,Under,A Sharma
FIN0021,PRJ002,2026,Sep,20700000,1667217,1695269,1017161,678107,2242500,2425574,-28052,Over,P Gupta
FIN0022,PRJ002,2026,Oct,20700000,1796597,1976832,1186099,790732,2242500,1749770,-180235,Over,K Rao
FIN0023,PRJ002,2026,Nov,20700000,1640223,1523875,914325,609550,2242500,1874751,116348,On Budget,P Gupta
