Milestone_ID,Project_ID,Milestone_Name,Milestone_Type,Planned_Date,Actual_Date,Status,Delay_Days,Owner
ML0001,PRJ082,Test,Gate,28-Feb-25,26-Mar-25,Completed,26,M Patel
ML0002,PRJ059,UAT,Stage,27-Feb-26,10-Mar-26,Pending,11,M Patel
ML0003,PRJ012,Design,Stage,17-May-25,05-Jun-25,Completed,19,S Verma
ML0004,PRJ071,Build,Stage,07-Oct-25,09-Oct-25,Pending,2,K Rao
ML0005,PRJ010,UAT,Gate,10-Nov-26,10-Nov-26,Pending,0,M Patel
ML0006,PRJ049,Test,Gate,01-Sep-25,17-Sep-25,Delayed,16,S Verma
ML0007,PRJ058,UAT,Stage,11-Sep-25,11-Oct-25,Pending,30,R Singh
ML0008,PRJ022,Build,Stage,17-Oct-25,12-Nov-25,Delayed,26,S Verma
ML0009,PRJ030,Go Live,Gate,16-Jun-25,16-Jul-25,Pending,30,K Rao
ML0010,PRJ053,Go Live,Stage,12-Aug-26,28-Aug-26,Delayed,16,K Rao
ML0011,PRJ081,UAT,Stage,20-Feb-26,13-Mar-26,Pending,21,A Sharma
ML0012,PRJ021,Go Live,Stage,26-Dec-26,24-Jan-27,Completed,29,S Verma
ML0013,PRJ066,Test,Gate,26-Dec-25,10-Jan-26,Delayed,15,A Sharma
ML0014,PRJ056,Go Live,Stage,22-Dec-25,12-Jan-26,Completed,21,P Gupta
ML0015,PRJ069,Go Live,Stage,27-Jan-26,09-Feb-26,Pending,13,K Rao
ML0016,PRJ083,Go Live,Gate,13-Nov-26,30-Nov-26,Delayed,17,A Sharma
ML0017,PRJ059,Build,Gate,16-Aug-26,04-Sep-26,Completed,19,A Sharma
ML0018,PRJ018,Build,Gate,06-Jul-25,27-Jul-25,Delayed,21,N Kumar
ML0019,PRJ002,Go Live,Gate,29-Apr-26,22-May-26,Pending,23,A Sharma
ML0020,PRJ052,UAT,Stage,15-Apr-25,15-Apr-25,Completed,0,A Sharma
ML0021,PRJ072,Test,Gate,16-Dec-25,05-Jan-26,Pending,20,K Rao
ML0022,PRJ012,Build,Gate,14-Mar-25,26-Mar-25,Delayed,12,R Singh
ML0023,PRJ042,Design,Gate,25-Apr-26,14-May-26,Completed,19,V Mehta
ML0024,PRJ065,Test,Stage,27-Jun-26,09-Jul-26,Delayed,12,V Mehta
ML0025,PRJ081,UAT,Stage,27-Aug-26,26-Sep-26,Delayed,30,N Kumar
ML0026,PRJ077,Build,Stage,24-Oct-26,09-Nov-26,Delayed,16,V Mehta
ML0027,PRJ022,Build,Gate,07-Dec-25,04-Jan-26,Completed,28,M Patel
ML0028,PRJ059,Go Live,Stage,18-Jul-26,14-Aug-26,Completed,27,R Singh
ML0029,PRJ027,Go Live,Stage,14-May-26,05-Jun-26,Delayed,22,S Verma
ML0030,PRJ040,Design,Stage,24-Jan-27,13-Feb-27,Pending,20,S Verma
ML0031,PRJ031,Go Live,Gate,04-Dec-25,15-Dec-25,Delayed,11,M Patel
ML0032,PRJ085,Build,Gate,30-Jan-26,17-Feb-26,Completed,18,M Patel
ML0033,PRJ097,Build,Stage,09-Jun-26,09-Jun-26,Delayed,0,N Kumar
ML0034,PRJ063,UAT,Gate,03-Oct-25,03-Oct-25,Pending,0,P Gupta
ML0035,PRJ037,Go Live,Stage,14-Mar-25,17-Mar-25,Pending,3,N Kumar
ML0036,PRJ089,Test,Stage,23-Mar-26,14-Apr-26,Delayed,22,A Sharma
ML0037,PRJ099,UAT,Gate,03-Sep-26,06-Sep-26,Delayed,3,K Rao
ML0038,PRJ062,Go Live,Gate,09-May-26,06-Jun-26,Delayed,28,V Mehta
ML0039,PRJ013,Test,Stage,13-Jun-25,15-Jun-25,Pending,2,M Patel
ML0040,PRJ084,Design,Gate,29-Aug-25,29-Aug-25,Delayed,0,A Sharma
ML0041,PRJ020,Go Live,Gate,27-Dec-26,25-Jan-27,Completed,29,P Gupta
ML0042,PRJ006,Test,Gate,20-May-25,30-May-25,Pending,10,R Singh
ML0043,PRJ051,Go Live,Gate,16-Jan-26,31-Jan-26,Completed,15,N Kumar
ML0044,PRJ080,Design,Stage,15-Dec-26,15-Dec-26,Delayed,0,A Sharma
ML0045,PRJ056,Test,Stage,05-Feb-26,16-Feb-26,Completed,11,R Singh
ML0046,PRJ011,Build,Gate,14-Jul-26,14-Jul-26,Pending,0,R Singh
ML0047,PRJ004,Go Live,Gate,08-Jul-26,16-Jul-26,Completed,8,N Kumar
ML0048,PRJ019,Test,Gate,02-Dec-25,01-Jan-26,Delayed,30,R Singh
ML0049,PRJ070,Go Live,Gate,19-Nov-25,25-Nov-25,Completed,6,K Rao
ML0050,PRJ092,Go Live,Gate,17-Nov-26,17-Nov-26,Pending,0,S Verma
ML0051,PRJ020,Go Live,Gate,13-Dec-26,10-Jan-27,Completed,28,N Kumar
ML0052,PRJ026,Go Live,Stage,22-May-25,15-Jun-25,Completed,24,V Mehta
ML0053,PRJ090,Go Live,Stage,26-Nov-26,26-Nov-26,Pending,0,K Rao
ML0054,PRJ093,Design,Gate,03-Mar-25,05-Mar-25,Completed,2,A Sharma
ML0055,PRJ094,Test,Gate,24-Sep-25,24-Oct-25,Completed,30,R Singh
ML0056,PRJ082,Design,Gate,02-Feb-25,02-Feb-25,Completed,0,N Kumar
ML0057,PRJ076,Go Live,Gate,23-May-26,02-Jun-26,Delayed,10,P Gupta
ML0058,PRJ096,Design,Gate,27-Dec-25,11-Jan-26,Completed,15,M Patel
ML0059,PRJ074,Design,Stage,20-Dec-26,23-Dec-26,Delayed,3,V Mehta
ML0060,PRJ044,Design,Stage,13-Dec-25,18-Dec-25,Completed,5,M Patel
ML0061,PRJ027,Go Live,Stage,31-Jul-26,13-Aug-26,Delayed,13,V Mehta
ML0062,PRJ004,Test,Gate,20-Oct-25,10-Nov-25,Pending,21,S Verma
ML0063,PRJ077,Build,Gate,21-Feb-26,21-Feb-26,Delayed,0,A Sharma
ML0064,PRJ043,Build,Gate,11-Aug-25,12-Aug-25,Completed,1,A Sharma
ML0065,PRJ061,Design,Stage,14-Jun-25,10-Jul-25,Pending,26,R Singh
ML0066,PRJ002,Test,Gate,16-Jun-26,11-Jul-26,Completed,25,A Sharma
ML0067,PRJ032,Go Live,Gate,31-Oct-25,07-Nov-25,Delayed,7,S Verma
ML0068,PRJ031,Build,Gate,27-Jul-26,07-Aug-26,Completed,11,S Verma
ML0069,PRJ018,UAT,Gate,26-Dec-25,07-Jan-26,Delayed,12,R Singh
ML0070,PRJ049,Test,Gate,15-Feb-26,15-Mar-26,Completed,28,P Gupta
ML0071,PRJ024,Build,Gate,16-Nov-25,19-Nov-25,Delayed,3,M Patel
ML0072,PRJ014,Test,Gate,30-Nov-25,30-Nov-25,Completed,0,P Gupta
ML0073,PRJ082,Design,Gate,23-Mar-25,02-Apr-25,Completed,10,A Sharma
ML0074,PRJ046,Go Live,Gate,11-Nov-25,29-Nov-25,Completed,18,K Rao
ML0075,PRJ031,Test,Stage,11-May-26,11-May-26,Pending,0,M Patel
ML0076,PRJ075,Build,Gate,06-May-26,31-May-26,Pending,25,V Mehta
ML0077,PRJ029,Test,Stage,24-May-25,06-Jun-25,Delayed,13,K Rao
ML0078,PRJ033,Go Live,Stage,30-Dec-26,13-Jan-27,Completed,14,M Patel
ML0079,PRJ061,UAT,Gate,02-Mar-26,30-Mar-26,Pending,28,R Singh
