Resource_ID,Employee_Name,Designation,Department,Project_ID,Allocation_%,Billable,Employment_Type,Joining_Date,Experience_Years,Primary_Skill,Secondary_Skill,Certification,Location,Manager,Hourly_Rate,Monthly_Cost,Utilization_%,Resource_Status
RES0001,Employee 1,Architect,Sales,PRJ048,50,No,Permanent,18-Oct-24,11,Azure,Salesforce,None,Germany,A Sharma,118.00,115069.00,67,Released
RES0002,Employee 2,BA,HR,PRJ052,100,Yes,Contract,04-Mar-22,15,Azure,Power BI,None,UK,R Singh,118.00,115069.00,96,Active
RES0003,Employee 3,BA,Sales,PRJ078,25,Yes,Permanent,03-Apr-24,16,Azure,Oracle,AZ-900,UK,N Kumar,118.00,115069.00,80,Released
RES0004,Employee 4,Architect,Marketing,PRJ023,75,Yes,Permanent,30-Jun-23,4,AWS,Dynamics 365,AZ-900,Singapore,V Mehta,118.00,115069.00,73,Released
RES0005,Employee 5,Tester,Marketing,PRJ092,50,No,Contract,17-Mar-25,4,Dynamics 365,Dynamics 365,None,Germany,S Verma,118.00,115069.00,87,Released
RES0006,Employee 6,Architect,Marketing,PRJ089,25,No,Contract,12-Jan-24,13,Oracle,Salesforce,PMP,Singapore,V Mehta,118.00,115069.00,75,Active
RES0007,Employee 7,BA,HR,PRJ071,75,Yes,Contract,14-Sep-24,1,Oracle,Power BI,None,Singapore,V Mehta,118.00,115069.00,91,Active
RES0008,Employee 8,Tester,IT,PRJ011,25,Yes,Permanent,25-Mar-25,10,Azure,Oracle,PL-300,India,N Kumar,118.00,115069.00,74,Released
RES0009,Employee 9,PM,Sales,PRJ049,50,No,Contract,13-Nov-22,7,Dynamics 365,Dynamics 365,PL-300,India,M Patel,118.00,115069.00,84,Released
RES0010,Employee 10,PM,Operations,PRJ057,75,Yes,Contract,03-Sep-23,9,Azure,Oracle,None,Singapore,P Gupta,118.00,115069.00,99,Released
RES0011,Employee 11,Developer,Marketing,PRJ035,50,Yes,Contract,16-Dec-22,17,Oracle,SAP,None,Australia,V Mehta,118.00,115069.00,94,Released
RES0012,Employee 12,Architect,Operations,PRJ007,75,No,Permanent,01-Jun-24,6,Salesforce,Azure,CSM,USA,M Patel,118.00,115069.00,100,Released
RES0013,Employee 13,PM,Finance,PRJ063,100,Yes,Contract,28-Nov-24,1,Dynamics 365,Dynamics 365,AZ-900,Germany,K Rao,118.00,115069.00,97,Active
RES0014,Employee 14,Developer,Sales,PRJ006,50,Yes,Permanent,20-Feb-23,4,Salesforce,Dynamics 365,PL-300,Germany,N Kumar,118.00,115069.00,65,Active
RES0015,Employee 15,Architect,Marketing,PRJ091,100,No,Contract,28-Feb-22,4,Dynamics 365,Dynamics 365,None,Germany,M Patel,118.00,115069.00,74,Active
RES0016,Employee 16,Tester,Finance,PRJ020,50,Yes,Contract,30-Apr-23,15,Azure,Power BI,AZ-900,Australia,R Singh,118.00,115069.00,88,Released
RES0017,Employee 17,PM,Sales,PRJ028,75,Yes,Contract,14-Jan-25,3,AWS,Dynamics 365,PMP,Germany,V Mehta,118.00,115069.00,69,Released
RES0018,Employee 18,BA,Sales,PRJ014,25,Yes,Permanent,08-Feb-22,5,Power BI,Oracle,None,Singapore,R Singh,118.00,115069.00,85,Active
RES0019,Employee 19,BA,HR,PRJ026,100,No,Contract,30-Oct-23,15,Oracle,Azure,PL-300,Germany,R Singh,118.00,115069.00,74,Released
RES0020,Employee 20,BA,Sales,PRJ099,75,No,Permanent,26-Sep-24,5,Salesforce,Dynamics 365,PL-300,India,R Singh,118.00,115069.00,86,Released
RES0021,Employee 21,PM,Finance,PRJ010,75,Yes,Permanent,11-Dec-22,7,Oracle,SAP,PL-300,Singapore,N Kumar,118.00,115069.00,70,Active
RES0022,Employee 22,Developer,HR,PRJ029,25,Yes,Permanent,15-Feb-24,20,Salesforce,Oracle,AZ-900,Australia,P Gupta,118.00,115069.00,91,Active
RES0023,Employee 23,PM,Operations,PRJ028,50,Yes,Permanent,14-Jul-24,6,Oracle,AWS,CSM,Germany,S Verma,118.00,115069.00,97,Released
RES0024,Employee 24,BA,Marketing,PRJ044,100,No,Contract,12-Sep-23,2,Dynamics 365,Salesforce,CSM,USA,S Verma,118.00,115069.00,61,Released
RES0025,Employee 25,Developer,Marketing,PRJ096,75,No,Contract,20-Jan-22,2,AWS,Azure,AZ-900,Germany,P Gupta,118.00,115069.00,82,Released
RES0026,Employee 26,PM,Marketing,PRJ083,50,No,Contract,20-Nov-24,16,AWS,SAP,None,India,R Singh,118.00,115069.00,70,Released
RES0027,Employee 27,Tester,HR,PRJ011,25,No,Permanent,08-Feb-22,13,Oracle,Azure,PL-300,USA,R Singh,118.00,115069.00,87,Active
RES0028,Employee 28,Tester,Finance,PRJ082,75,Yes,Permanent,29-Mar-23,20,Oracle,Azure,None,India,K Rao,118.00,115069.00,74,Active
RES0029,Employee 29,PM,IT,PRJ038,50,No,Contract,30-Mar-24,8,Salesforce,Azure,PL-300,UK,A Sharma,118.00,115069.00,81,Active
