Vendor_ID,Vendor_Name,Vendor_Category,Project_ID,Contract_Value,Contract_Start_Date,Contract_End_Date,Vendor_Manager,SLA_Status,Performance_Rating,Payment_Status,Country
V001,IBM,Cloud,PRJ049,53787406,23-Jul-25,19-Feb-26,K Rao,Met,4.2,Pending,USA
V002,Capgemini,Cloud,PRJ038,53022297,15-Sep-25,24-Jul-26,A Sharma,Breached,3.7,Paid,Germany
V003,Capgemini,Implementation,PRJ097,48763078,16-Sep-25,29-Oct-26,S Verma,Breached,4.1,Paid,UK
V004,Deloitte,Implementation,PRJ061,162221620,17-Mar-25,31-Jul-26,V Mehta,Breached,4.5,Paid,India
V005,TCS,Support,PRJ056,46638101,11-Aug-25,06-Aug-26,K Rao,Breached,3.4,Paid,Singapore
V006,Infosys,Cloud,PRJ081,42488456,17-Jan-26,26-Oct-26,M Patel,Breached,3.8,Paid,Germany
V007,Accenture,Cloud,PRJ049,72877049,23-Jul-25,19-Feb-26,R Singh,Breached,4.8,Pending,USA
V008,Deloitte,Cloud,PRJ039,108699616,08-Dec-25,30-Aug-26,A Sharma,Breached,4.1,Pending,USA
V009,Infosys,Support,PRJ040,115036576,16-Apr-26,13-Apr-27,K Rao,Met,4.9,Pending,India
V010,Capgemini,Support,PRJ058,53347178,14-May-25,13-Oct-25,N Kumar,Breached,4.3,Paid,USA
V011,Capgemini,Implementation,PRJ083,1345364,07-May-26,13-Jul-27,N Kumar,Breached,4.1,Paid,Singapore
V012,IBM,Implementation,PRJ038,21482854,15-Sep-25,24-Jul-26,A Sharma,Met,3.3,Paid,Singapore
V013,IBM,Support,PRJ057,4167909,29-Mar-25,09-Jan-26,S Verma,Breached,4.1,Paid,Germany
V014,Infosys,Cloud,PRJ048,20255146,01-Jun-25,26-Nov-25,P Gupta,Breached,4.4,Pending,UK
V015,Deloitte,Cloud,PRJ068,69538321,25-Apr-26,06-Oct-26,P Gupta,Met,4.1,Paid,Germany
V016,Infosys,Implementation,PRJ071,133845086,25-Aug-25,01-Jan-27,V Mehta,Breached,4.6,Pending,India
V017,IBM,Support,PRJ086,14958944,30-Jun-25,08-Dec-25,N Kumar,Met,3.4,Paid,Australia
V018,TCS,Implementation,PRJ076,120356578,30-Nov-25,22-Jul-26,N Kumar,Met,3.4,Paid,Australia
V019,Capgemini,Cloud,PRJ012,97414695,08-Jan-25,30-May-25,M Patel,Breached,4,Paid,Australia
V020,Capgemini,Implementation,PRJ054,47435035,15-Apr-26,23-Apr-27,V Mehta,Breached,3.2,Pending,UK
V021,Deloitte,Implementation,PRJ036,194204499,19-Mar-26,25-Apr-27,N Kumar,Met,4.6,Paid,India
V022,IBM,Cloud,PRJ074,21789924,14-Oct-25,14-Feb-27,S Verma,Breached,4.9,Paid,UK
V023,Infosys,Implementation,PRJ034,69340222,02-Oct-25,25-Oct-26,K Rao,Met,4.2,Pending,Australia
V024,IBM,Support,PRJ042,110943396,28-Sep-25,13-Jan-27,A Sharma,Breached,3.2,Pending,India
V025,Accenture,Support,PRJ051,30083827,19-May-25,12-Feb-26,K Rao,Breached,3.6,Pending,USA
V026,TCS,Support,PRJ045,132066113,24-Jan-26,10-May-27,P Gupta,Met,4.8,Pending,USA
